x,y,r
78,108,20
168,200,20
116,168,18
54,112,19
194,94,21
134,40,18
98,64,21
56,126,12
84,46,12
82,180,12
138,230,10
58,158,18
90,180,11
202,72,10
204,120,10
126,28,11
84,72,10
82,200,10
100,56,14
178,186,10
58,186,9
118,226,10
22,122,15
138,56,10
200,200,10
58,64,9
130,102,6
146,96,16
96,208,12
164,176,11
192,176,10
110,34,11
222,122,9
62,106,11
32,140,9
66,84,7
224,144,7
156,176,11
124,202,7
138,210,7
124,36,7
72,174,7
50,78,12
192,186,7
168,78,12
76,94,8
64,170,7
90,106,11
134,194,9
62,52,7
118,238,7
150,112,7
142,130,6
72,52,7
34,116,7
116,130,6
