x,y
106.75,173.25
150.50,113.75
141.75,113.75
105.00,141.75
113.75,147.00
178.50,103.25
106.75,152.25
117.25,78.75
78.75,115.50
189.00,124.25
113.75,171.50
208.25,113.75
127.75,101.50
127.75,197.75
50.75,129.50
108.50,56.00
57.75,110.25
120.75,110.25
101.50,40.25
127.75,47.25
50.75,141.75
103.25,77.00
180.25,113.75
117.25,57.75
56.00,98.00
98.00,127.75
77.00,105.00
45.50,122.50
168.00,115.50
190.75,98.00
26.25,126.00
96.25,189.00
127.75,33.25
94.50,168.00
113.75,127.75
127.75,171.50
38.50,92.75
106.75,194.25
131.25,113.75
112.00,183.75
141.75,47.25
120.75,36.75
117.25,24.50
161.00,112.00
166.25,105.00
173.25,129.50
49.00,96.25
82.25,187.25
197.75,129.50
127.75,126.00
96.25,50.75
94.50,106.75
175.00,78.75
78.75,122.50
124.25,119.00
92.75,98.00
106.75,47.25
35.00,106.75
105.00,201.25
120.75,187.25
45.50,148.75
77.00,36.75
145.25,178.50
112.00,42.00
117.25,71.75
122.50,166.25
136.50,196.00
168.00,124.25
59.50,131.25
94.50,176.75
136.50,98.00
127.75,15.75
36.75,77.00
57.75,124.25
98.00,197.75
190.75,117.25
36.75,138.25
66.50,99.75
45.50,77.00
117.25,7.00
215.25,108.50
42.00,112.00
133.00,208.25
176.75,138.25
117.25,197.75
120.75,176.75
185.50,148.75
77.00,178.50
108.50,134.75
108.50,103.25
147.00,103.25
7.00,119.00
103.25,99.75
124.25,24.50
171.50,98.00
31.50,133.00
