x,y,r
40,120,19
50,126,9
116,50,19
84,92,19
192,120,19
210,134,19
158,84,19
160,158,19
56,120,19
104,238,10
114,114,17
166,88,17
222,86,9
168,168,17
82,178,10
72,168,10
124,198,9
146,178,10
138,46,15
170,158,15
86,162,13
104,56,9
104,198,9
146,76,6
114,84,14
138,166,14
126,146,10
180,126,10
180,168,10
28,86,9
124,38,7
146,56,6
132,204,10
124,74,7
244,144,7
146,198,6
132,190,10
146,14,10
70,126,10
222,146,6
104,156,6
200,126,5
92,26,15
28,146,6
70,106,6
146,156,6
132,62,10
42,134,10
222,126,9
200,144,8
168,216,7
180,146,6
208,120,10
28,126,10
222,166,10
200,104,7
50,108,7
168,180,7
70,146,6
92,106,9
92,146,9
104,96,9
158,208,14
112,190,9
138,140,9
82,76,9
148,128,7
158,144,7
104,14,5
18,118,14
104,78,7
168,36,7
82,34,7
102,124,7
148,238,7
168,78,7
124,106,6
146,96,6
158,106,6
104,178,6
62,136,8
188,136,8
124,124,8
104,216,7
222,106,6
70,86,6
114,68,8
104,34,6
50,146,6
26,168,7
146,218,6
124,56,5
244,104,7
126,218,5
96,100,7
6,106,6
124,178,5
180,106,5
192,162,10
156,166,8
146,36,6
