x,y
47.25,110.25
129.50,126.00
127.75,190.75
162.75,77.00
15.75,108.50
129.50,92.75
127.75,29.75
176.75,176.75
61.25,59.50
110.25,206.50
127.75,161.00
162.75,157.50
98.00,190.75
112.00,43.75
210.00,110.25
61.25,94.50
82.25,42.00
82.25,176.75
159.25,63.00
162.75,94.50
162.75,190.75
78.75,141.75
98.00,29.75
45.50,45.50
61.25,161.00
131.25,63.00
162.75,124.25
192.50,124.25
192.50,161.00
31.50,94.50
78.75,78.75
45.50,75.25
45.50,140.00
61.25,124.25
162.75,29.75
31.50,124.25
61.25,29.75
94.50,63.00
147.00,173.25
192.50,59.50
45.50,173.25
143.50,143.50
147.00,45.50
192.50,94.50
64.75,192.50
143.50,75.25
47.25,61.25
98.00,161.00
112.00,159.25
66.50,178.50
94.50,91.00
94.50,127.75
162.75,143.50
110.25,14.00
96.25,141.75
145.25,92.75
147.00,108.50
176.75,75.25
178.50,61.25
113.75,78.75
178.50,143.50
143.50,59.50
78.75,112.00
161.00,175.00
176.75,43.75
178.50,159.25
147.00,157.50
112.00,143.50
87.50,85.75
178.50,110.25
