x,y,r
84,130,16
84,86,16
192,170,15
66,84,15
128,170,15
148,194,15
214,128,15
128,62,15
130,42,14
54,140,6
68,154,11
64,130,8
52,96,8
168,68,12
170,148,8
170,192,6
88,68,12
190,88,9
136,182,8
200,160,7
182,160,5
62,172,8
130,86,8
116,182,7
86,174,8
106,194,8
180,180,8
136,54,8
96,52,8
78,204,7
86,194,8
116,52,8
168,86,8
180,114,8
194,150,8
130,192,8
52,118,8
64,108,6
118,96,6
150,62,8
190,106,7
172,128,6
160,200,7
94,96,7
180,76,6
104,42,8
170,174,8
200,118,8
120,74,7
42,128,6
128,118,6
138,162,7
54,76,6
118,128,6
118,202,7
86,108,6
108,170,6
128,214,6
66,192,8
194,128,8
154,90,7
202,76,6
202,94,4
86,150,6
136,222,6
96,76,6
78,140,5
98,178,5
70,98,5
72,164,5
74,180,5
96,136,5
100,158,5
134,74,5
136,36,5
136,132,5
160,186,5
164,158,5
164,178,5
