x,y
122.50,113.75
70.00,110.25
84.00,147.00
40.25,136.50
89.25,115.50
110.25,33.25
134.75,161.00
148.75,141.75
108.50,71.75
56.00,75.25
68.25,85.75
119.00,182.00
143.50,124.25
152.25,103.25
101.50,182.00
84.00,182.00
126.00,196.00
112.00,169.75
68.25,138.25
138.25,61.25
154.00,166.25
101.50,164.50
112.00,61.25
148.75,85.75
108.50,14.00
40.25,87.50
112.00,176.75
138.25,45.50
61.25,78.75
154.00,85.75
138.25,152.25
129.50,141.75
110.25,136.50
159.25,78.75
159.25,143.50
101.50,127.75
119.00,152.25
196.00,96.25
105.00,161.00
117.25,187.25
173.25,115.50
126.00,77.00
134.75,173.25
168.00,110.25
105.00,143.50
133.00,187.25
105.00,50.75
82.25,45.50
91.00,64.75
152.25,110.25
68.25,59.50
126.00,28.00
110.25,210.00
159.25,92.75
105.00,175.00
122.50,122.50
66.50,126.00
154.00,138.25
99.75,152.25
134.75,145.25
73.50,131.25
75.25,66.50
75.25,115.50
91.00,78.75
103.25,187.25
40.25,110.25
84.00,98.00
84.00,59.50
138.25,182.00
103.25,105.00
154.00,127.75
143.50,89.25
164.50,136.50
89.25,91.00
136.50,73.50
21.00,117.25
24.50,98.00
26.25,120.75
91.00,50.75
98.00,28.00
117.25,103.25
54.25,134.75
75.25,105.00
173.25,105.00
136.50,87.50
92.75,143.50
206.50,112.00
99.75,80.50
119.00,70.00
73.50,161.00
103.25,89.25
110.25,152.25
166.25,154.00
61.25,143.50
75.25,82.25
131.25,119.00
169.75,84.00
173.25,127.75
178.50,112.00
117.25,173.25
129.50,50.75
159.25,115.50
98.00,197.75
176.75,84.00
194.25,124.25
206.50,106.75
84.00,168.00
91.00,175.00
117.25,201.25
147.00,131.25
56.00,154.00
145.25,105.00
166.25,122.50
33.25,103.25
105.00,117.25
164.50,71.75
